(8,8,0,0,William,0,1,-1,-1,-1,-1,-1,-1)
(9,9,0,0,Jeb,0,1,-1,-1,-1,-1,-1,-1)
(9,10,0,1,Tythus,2,-1,-1,-1,-1,-1,-1,-1)
(14,16,1,0,Bandit Soldier,0,-1,-1,-1,-1,-1,-1,-1)
(28,12,1,0,Bandit Soldier,0,-1,-1,-1,-1,-1,-1,-1)
(17,18,1,0,Bandit Soldier,0,-1,-1,-1,-1,-1,-1,-1)
(33,18,1,0,Bandit Soldier,0,-1,-1,-1,-1,-1,-1,-1)
(16,20,1,0,Bandit Soldier,0,-1,-1,-1,-1,-1,-1,-1)
(16,17,1,0,Bandit Soldier,0,-1,-1,-1,-1,-1,-1,-1)
(19,11,1,0,Bandit Soldier,0,-1,-1,-1,-1,-1,-1,-1)
(19,12,1,0,Bandit Soldier,0,-1,-1,-1,-1,-1,-1,-1)
(16,18,1,0,Big Dude,0,-1,-1,-1,-1,-1,-1,-1)
